applicant_id,age,gender,marital_status,education,dependents,employment_status,years_employed,annual_income,credit_score,existing_loans,credit_history_years,loan_amount,loan_term,loan_purpose,interest_rate,property_area,has_cosigner,debt_to_income,total_debt,emi,loan_status
APP100000,43,Male,Single,High School,2,Business,7,64990,798,2,9,141413,36,Home,6.97,Semiurban,Yes,0.725,191413,3928.14,1
APP100001,36,Male,Single,High School,0,Salaried,0,53541,643,0,9,146116,36,Medical,8.07,Rural,No,0.91,146116,4058.78,0
APP100002,45,Male,Married,Bachelor,0,Self-Employed,6,63324,775,0,16,17800,60,Home,4.93,Urban,No,0.056,17800,296.67,1
APP100003,56,Male,Married,High School,1,Business,10,65440,850,1,8,80537,36,Home,3.69,Urban,Yes,0.41,105537,2237.14,1
APP100004,35,Male,Married,High School,0,Salaried,9,43264,610,0,10,224967,60,Home,11.21,Semiurban,Yes,1.04,224967,3749.45,1
APP100005,35,Female,Single,Bachelor,1,Unemployed,0,15000,707,0,9,5000,120,Personal,6.51,Urban,No,0.033,5000,41.67,1
APP100006,56,Female,Married,Master,1,Unemployed,0,15000,669,0,7,143120,36,Auto,10.23,Rural,Yes,3.18,143120,3975.56,0
APP100007,47,Female,Married,Bachelor,1,Salaried,2,62341,842,1,7,124994,120,Home,5.4,Rural,No,0.201,149994,1041.62,1
APP100008,32,Male,Married,High School,0,Salaried,5,44169,657,1,14,5000,24,Personal,8.61,Rural,No,0.057,30000,208.33,1
APP100009,44,Male,Divorced,Bachelor,1,Salaried,2,65647,699,3,7,285390,24,Auto,6.88,Urban,No,2.174,360390,11891.25,0
APP100010,32,Male,Divorced,High School,2,Salaried,13,70814,698,1,6,67578,24,Business,9.3,Urban,No,0.477,92578,2815.75,1
APP100011,32,Female,Single,High School,4,Unemployed,0,15000,671,1,4,193914,24,Home,9.13,Semiurban,No,6.464,218914,8079.75,0
APP100012,40,Male,Single,Bachelor,2,Unemployed,0,15000,740,0,10,112488,240,Business,8.1,Urban,No,0.375,112488,468.7,1
APP100013,21,Female,Married,High School,1,Salaried,8,53789,687,1,5,82411,36,Home,7.99,Urban,No,0.511,107411,2289.19,1
APP100014,21,Male,Married,High School,0,Self-Employed,13,56065,718,1,9,131121,60,Education,8.31,Urban,No,0.468,156121,2185.35,1
APP100015,31,Male,Single,Master,2,Self-Employed,14,103847,697,0,8,121491,60,Auto,9.54,Semiurban,No,0.234,121491,2024.85,1
APP100016,25,Male,Single,High School,3,Salaried,12,53681,631,1,5,135061,36,Business,9.98,Rural,Yes,0.839,160061,3751.69,0
APP100017,41,Male,Married,PhD,0,Self-Employed,10,125471,658,0,1,87043,24,Business,7.78,Semiurban,No,0.347,87043,3626.79,0
APP100018,27,Female,Married,Bachelor,0,Unemployed,0,15000,724,1,2,68881,36,Personal,8.04,Semiurban,No,1.531,93881,1913.36,0
APP100019,21,Female,Single,PhD,0,Salaried,1,121152,724,1,3,230356,36,Auto,8.27,Semiurban,No,0.634,255356,6398.78,0
APP100020,55,Male,Single,High School,2,Salaried,2,42365,779,1,2,150554,240,Business,8.1,Semiurban,No,0.178,175554,627.31,1
APP100021,35,Male,Divorced,Bachelor,1,Salaried,12,48810,828,3,10,145174,60,Personal,6.02,Rural,Yes,0.595,220174,2419.57,1
APP100022,38,Female,Married,High School,0,Salaried,8,54081,638,3,18,78681,240,Auto,10.34,Urban,No,0.073,153681,327.84,1
APP100023,21,Female,Married,Master,3,Salaried,13,99158,690,2,5,275951,60,Home,8.82,Rural,No,0.557,325951,4599.18,1
APP100024,31,Male,Married,High School,1,Salaried,14,45758,664,2,6,143005,24,Business,7.37,Urban,Yes,1.563,193005,5958.54,0
APP100025,39,Male,Married,High School,0,Salaried,3,72049,591,0,5,5000,36,Auto,11.01,Urban,No,0.023,5000,138.89,1
APP100026,24,Male,Married,Master,0,Business,8,181682,725,0,12,172065,60,Auto,7.62,Semiurban,No,0.189,172065,2867.75,1
APP100027,42,Male,Married,High School,0,Salaried,7,59532,742,0,10,88864,36,Education,9.16,Urban,No,0.498,88864,2468.44,1
APP100028,30,Male,Single,High School,1,Salaried,6,86911,593,0,7,222866,12,Personal,8.7,Urban,No,2.564,222866,18572.17,0
APP100029,34,Male,Married,High School,0,Business,4,59155,650,0,1,233074,12,Home,7.87,Rural,No,3.94,233074,19422.83,0
APP100030,30,Male,Married,Bachelor,1,Business,15,72569,642,2,3,223834,24,Auto,9.89,Urban,Yes,1.542,273834,9326.42,0
APP100031,60,Male,Divorced,High School,2,Salaried,8,57056,559,1,8,113087,60,Home,12.33,Rural,No,0.396,138087,1884.78,1
APP100032,37,Male,Single,Bachelor,2,Salaried,8,53684,677,1,9,140968,120,Medical,8.34,Semiurban,No,0.263,165968,1174.73,1
APP100033,25,Female,Divorced,High School,0,Business,3,63313,588,0,7,169888,60,Home,10.13,Rural,No,0.537,169888,2831.47,1
APP100034,47,Female,Divorced,Bachelor,1,Salaried,12,35352,692,1,11,221412,60,Home,8.37,Rural,No,1.253,246412,3690.2,0
APP100035,23,Male,Single,Master,2,Salaried,1,97716,701,2,1,66979,60,Personal,7.5,Semiurban,Yes,0.137,116979,1116.32,1
APP100036,40,Female,Married,Bachelor,0,Salaried,10,23224,711,0,9,157474,60,Education,8.77,Semiurban,No,1.356,157474,2624.57,0
APP100037,21,Female,Married,Bachelor,0,Salaried,10,57589,715,3,9,299433,24,Medical,7.22,Rural,Yes,2.6,374433,12476.38,0
APP100038,22,Male,Divorced,High School,1,Salaried,5,41731,802,0,3,107168,120,Auto,6.66,Semiurban,Yes,0.257,107168,893.07,1
APP100039,40,Male,Married,High School,1,Salaried,9,34369,615,3,4,147914,36,Auto,8.38,Urban,No,1.435,222914,4108.72,0
