Feature,Importance
debt_to_income,0.3640715
credit_history_years,0.07277133
years_employed,0.041980956
has_cosigner,0.038427338
annual_income,0.03541502
property_area_Urban,0.031963885
employment_status_Unemployed,0.031723637
credit_score,0.028563494
property_area_Semiurban,0.028076086
gender,0.024762524
emi,0.022772597
existing_loans,0.021018108
loan_purpose_Home,0.020704098
loan_term,0.020650845
interest_rate,0.020079613
loan_amount,0.019153675
employment_status_Salaried,0.016824195
employment_status_Self-Employed,0.016728846
education_High School,0.015992325
total_debt,0.015372968
loan_purpose_Education,0.01529494
age,0.015063796
marital_status_Single,0.01473671
marital_status_Married,0.013236369
loan_purpose_Medical,0.01306597
loan_purpose_Business,0.012045836
education_Master,0.0104712155
dependents,0.009710096
education_PhD,0.009322028
loan_purpose_Personal,0.0
